,isInner,id1,id2,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,raw fourbytes,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,skeletons fourbytes,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fstSecSkel fourbytes,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat fourbytes,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd,fStat0 fourbytes
isInner,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id1,,1.0,0.2734633787265366,,0.09456819810132473,0.022755735196443586,-0.07434046738894447,0.17656209949050516,-0.2641062351454064,0.1365571498600047,-0.011458244336234808,0.2755144696005414,0.11227534241917252,0.05006261743217588,0.0838532286188094,0.34634881973591763,0.25087211364499695,0.14636125292687685,,0.27262613421276616,0.1238156987393192,0.05006261743217588,0.0806687058639531,0.3485685555764254,0.25087211364499695,0.1456609598506717,,0.12639915384366288,0.08378261536113274,0.2419109695498849,0.25534914863504526,0.46530470240301114,0.38430282369262736,0.23879993898595694,,0.1522247597231232,0.18648057335015983,0.2419109695498849,0.06898303215476355,0.3461754864263366,0.24924495023505816,0.17755386987773952,
id2,,0.2734633787265366,1.0,,-0.08226378570895908,-0.17889508746742572,-0.25437828177638816,-0.06621078730893944,-0.13187728119777284,-0.199933673256571,-0.5019450260840926,0.014392546919431266,-0.12325495003745122,-0.15788979343993934,-0.139168173548024,0.02103332913376018,-0.11317275517784081,-0.14671139946497944,,0.012345334379446016,-0.11461796111868407,-0.15788979343993934,-0.14020150626136826,0.014026903644926576,-0.11317275517784081,-0.14811198561738972,,-0.1945812700248918,-0.20664031603775174,-0.052863323302507405,-0.06128379567241086,-0.030132684041158857,-0.08898169299719905,-0.1365571498600047,,-0.10782587147054558,-0.06509227560335769,-0.052863323302507405,-0.1577765761078182,-0.03468762465203171,-0.11463164377899299,-0.12432272940157305,
raw ppdeep,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw ppdeep_mod,,0.09456819810132473,-0.08226378570895908,,1.0,0.41598758317035756,0.4139333477167004,0.21014016268902722,0.0036949951698321817,0.4946528131839649,0.23548578243088153,0.42175016280752375,0.4814071082843259,0.4788538738745595,0.4122506918316731,0.3669862511672716,0.4441122595777082,0.49197720635132686,,0.42303591497749515,0.4656282898957424,0.4788538738745595,0.4111717665799752,0.3671088455422187,0.4441122595777082,0.49331500976764586,,0.40027307343872404,0.3846674629281044,0.45076468015566074,0.4534911042910246,0.32095226596459847,0.43701123005074777,0.49665951830844346,,0.3899393833358207,0.45034463887470466,0.45076468015566074,0.44400259283236976,0.3865483495194069,0.44065137457676046,0.4903866355387344,
raw byteBag,,0.022755735196443586,-0.17889508746742572,,0.41598758317035756,1.0,0.6726007659335921,0.43285581088784225,-0.0648944566323895,0.696086604156356,0.1553981368660963,0.4845297303649568,0.674460239306823,0.8534798534798536,0.7543718605463456,0.5171728508129637,0.64255979644116,0.7407160802123138,,0.47900655954197113,0.6840883591626107,0.8534798534798536,0.7552498927352287,0.5273523011236252,0.64255979644116,0.7400499686293891,,0.48291382033385105,0.630848402598133,0.6703296703296704,0.671704004897522,0.42592915967417144,0.5041653902026985,0.6341382269443551,,0.44809549738121074,0.6670097434661574,0.6703296703296704,0.7184105493419448,0.5625730997887334,0.6445487560422043,0.7118588003211506,
raw lzjd,,-0.07434046738894447,-0.25437828177638816,,0.4139333477167004,0.6726007659335921,1.0,0.36787988821322376,0.03703086636981475,0.7058959237654054,0.2625383556050747,0.43349890155223214,0.6947036085971394,0.7114755486183438,0.6775716694772344,0.4479922525390356,0.563483389872153,0.6944996932772649,,0.4328256214179201,0.7033583302887407,0.7114755486183438,0.6750969578338517,0.45351289670067974,0.563483389872153,0.6944996932772649,,0.5346987911040059,0.6409437826325123,0.5606682019964622,0.5654079889800752,0.35318333900915305,0.45507111057916566,0.6127149803623747,,0.460341248616449,0.6278213848675402,0.5606682019964622,0.6579803734959186,0.47627762715384364,0.5651078301690905,0.6647791159847848,
raw bz,,0.17656209949050516,-0.06621078730893944,,0.21014016268902722,0.43285581088784225,0.36787988821322376,1.0,0.006694610268895172,0.4525912913492627,0.05629022104453001,0.3972759164273626,0.41870033484478014,0.41286247089302275,0.4782103195916656,0.4861529277365413,0.5075871339536582,0.4739210723848685,,0.393644557115605,0.42796652997035234,0.41286247089302275,0.47678852016297013,0.49232334428276464,0.5075871339536582,0.47525418369959394,,0.355937085701926,0.3612037939330214,0.5114962815341323,0.48844148812880306,0.4762381256805676,0.49316438812937646,0.47058829409805514,,0.32051680416603673,0.5016792354156718,0.5114962815341323,0.43571100690923353,0.4909121295530781,0.5048382839158456,0.4936666940925949,
raw jump,,-0.2641062351454064,-0.13187728119777284,,0.0036949951698321817,-0.0648944566323895,0.03703086636981475,0.006694610268895172,1.0,0.02509224134130492,0.09429659312337274,0.0014734290668106623,0.07106778446515369,-0.060880366531416964,-0.008079461753414128,-0.15776331755303605,-0.09842718232133019,0.004349321832492853,,0.007863935707649853,0.06489888762654347,-0.060880366531416964,-0.007741512141089919,-0.15446536092618351,-0.09842718232133019,0.0056875747040291144,,-0.01152612475321481,-0.07198120045489398,-0.06890854673336205,-0.11374739612306549,-0.15366692750166855,-0.09640238787209048,-0.018400976983623606,,-0.022037875104389426,-0.09178014278453957,-0.06890854673336205,0.06591293274570821,-0.1550060728393737,-0.09445701815277316,-0.021415613132600715,
raw ncd,,0.1365571498600047,-0.199933673256571,,0.4946528131839649,0.696086604156356,0.7058959237654054,0.4525912913492627,0.02509224134130492,1.0,0.28693664703792726,0.5912149380251256,0.8160912850548472,0.753372200287884,0.7306994842395935,0.6690016229988527,0.7870001748889472,0.8917388407728181,,0.591639814068483,0.8161291438633533,0.753372200287884,0.7275601539103482,0.6765645655750195,0.7870001748889472,0.8934043970686208,,0.6396679988905444,0.7130042077578481,0.7027477199856036,0.7472066802067441,0.5500001222222629,0.6985503289160933,0.8637574950033311,,0.5721437445856009,0.7946537113524917,0.7027477199856036,0.7666565730807089,0.6656668145926419,0.7907292363560716,0.9008829043871494,
